Country,Species,Scientific_Species,Genes,details_url,Institute,Editing_Method,Delivery,Foreign_DNA,Regulatory_Process,NGT
Japan,"Pig
          (",Sus scrofa domesticus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=170&RegProcess=0,"Institute of Marine ResearchNordnes, NO-5817 BergenNO",Embryo edit,"Salmon eggs were fertilized and followking fertilizationmicroinjection was carried out using 50?ng/Âµl gRNA and 150?ng/Âµl cas9 mRNA in nuclease free water and a FemtoJetÂ®4i (Eppendorf) microinjector. The ODNs were added to the injection mix with a final concentration of 0.15, 0.5, 1.5 or 4?ÂµM.",Yes,No,CRISPR
Norway,"Atlantic Salmon
          (",Salmo salar,dnd,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=201&RegProcess=0,Ernst Federal Science Center for Animal HusbandryPodolskRU,Cloned cell line,"To obtain individual colonies of bovine GE fibroblasts, the early-passage fibroblasts were electroporated with a mixture of plasmids encoding Cas9 and gRNA,aimed at inactivating the BLG",No,No,CRISPR
Russia,"Cattle
          (",Bos taurus,BLG,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=36&RegProcess=0,"University of California, DavisUS",Embryo edit,"the repair template was provided as a template, and everything was microinjected in at 6 hpi - we transferred only green embryos resulting in a knocked in male bull calf - Cosmo",Yes,No,CRISPR
United States,"Cattle
          (",Bos taurus,SRY,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=52&RegProcess=0,"Acceligen Inc.Eagan, MNUS",Embryo edit,intracytoplasmic microinjection,No,No,CRISPR
United States,"Cattle
          (",Bos taurus,PRLR,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=205&RegProcess=0,Shanghai Ocean UniversityShanghai 201306CN,Embryo edit,The fertilized eggs (1â2 cell stage) were injected with 1 nL mixture of gRNA (100 pg) and Cas9 protein (900 pg).,No,No,CRISPR
China,"Blunt snout sea bream
          (",Megalobrama amblycephala,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=98&RegProcess=0,Shanghai Jiaotong UniversityShanghaimCN,Other,we knocked out the MSTN gene in the tibialis anterior muscle of newborn chicks using CRISPR/Cas9 technology.,No,No,CRISPR
China,"Chicken
          (",Gallus gallus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=82&RegProcess=0,Shanghai Ocean UniversityShanghai 201306CN,Embryo edit,A mixture of Cas9 protein (400 ng/ÂµL) and sgRNA (225 ng/ÂµL) was co-injected into the one-celled stage embryos (1 ÂµL/embryo).,No,No,CRISPR
China,"Common Carp
          (",Cyprinus carpio,MC1R,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=76&RegProcess=0,Southwest University400715 ChongqingCN,Embryo edit,,No,No,CRISPR
China,"Nile tilapia
          (",Oreochromis niloticus,"AMH, AMHR2",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=102&RegProcess=0,Southwest University400715 ChongqingCN,Embryo edit,Embryos at the one-cell stage were microinjected with gRNA and Cas9 mRNA,No,No,CRISPR
China,"Nile tilapia
          (",Oreochromis niloticus,Cyp11c1,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=103&RegProcess=0,Southwest University400715 ChongqingCN,Embryo edit,gRNA and Cas9 mRNA were co-injected into one-cell stage embryos,No,No,CRISPR
China,"Nile tilapia
          (",Oreochromis niloticus,foxh1,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=106&RegProcess=0,Southwest University400715 ChongqingCN,Embryo edit,Artificially synthesized gRNA and Cas9 mRNA were co-injected into one-cell stage embryos,No,No,CRISPR
China,"Nile tilapia
          (",Oreochromis niloticus,IGF3,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=108&RegProcess=0,"Institute of Animal Sciences, Chinese Academy of Agricultural SciencesBeijingCN",Cloned cell line,we report generation of double-gene-knockout (DKO) pigs harboring edited knockout alleles for known receptor proteins CD163 and pAPN and show that DKO pigs are completely resistant to genotype 2 PRRSV and TGEV,No,No,CRISPR
China,"Pig
          (",Sus scrofa domesticus,"CD163, pAPN",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=154&RegProcess=0,Ministry of education & Key Lab of Swine GeneticsCN,Cloned cell line,"circular plasmids of CSNIS1-sgRNA, Cas9, and donor vector",Yes,No,CRISPR
China,"Pig
          (",Sus scrofa domesticus,LF,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=166&RegProcess=0,"School of Medical Engineering, Foshan University,FoshanCN",Cloned cell line,Homozygous MSTN cells were cloned,No,No,CRISPR
China,"Pig
          (",Sus scrofa domesticus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=175&RegProcess=0,"Sun Yat-sen UniversityGuangzhou, 510006CN",Cloned cell line,The pX458-sgRNA recombinant plasmid was transfected into the LPK cells by electroporation. The EGFP-positive cells were sorted through FACS and used as donor cells for SCNT.,No,No,CRISPR
China,"Pig
          (",Sus scrofa domesticus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=177&RegProcess=0,"Jilin University, ChangchunJilin ProvinceCN",Embryo edit,"Mixtures of gRNAs (40 ng/Ã¯Â¿Â½L) and Cas9 (200 ng/Ã¯Â¿Â½L) were microinjected into the cytoplasm of the embryos,",No,No,CRISPR
China,"Rabbit
          (",Oryctolagus cuniculus,FGF5,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=118&RegProcess=0,"China Agricultural UniversityBeijing, 100193CN",Embryo edit,microinjection,No,No,CRISPR
China,"Sheep
          (",Ovis aries,FGF5,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=124&RegProcess=0,"College of Animal Science and Technology, Northwest A&F UniversityYangling 712100CN",Embryo edit,Successfully achieved the precise gene editing of the ovine MSTN gene by injecting both Cas9 mRNA and sgRNAs into embryos at the one-cell stage.,No,No,CRISPR
China,"Sheep
          (",Ovis aries,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=130&RegProcess=0,Technical University MunichFreisingDE,Other,PGCs were co-transfected with a CRISPR/Cas9 vector expressing a single guide RNA and Cas9-2A-eGFP in combination with a single?stranded oligodeoxynucleotide (ssODN). The ssODN served as DNA repair template to specifically target the W38 coding region of chNHE1 within Exon1,Yes,No,CRISPR
Germany,"Chicken
          (",Gallus gallus,chNHE1,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=87&RegProcess=0,"Institute of Marine ResearchNordnes, NO-5817 BergenNO",Embryo edit,Microinjection,No,No,CRISPR
Norway,"Atlantic Salmon
          (",Salmo salar,dnd,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=199&RegProcess=0,"Institute of Marine ResearchNordnes, NO-5817 BergenNO",Embryo edit,"Fertilization and microinjections were carried out using 50?ng/Âµl gRNA and 150?ng/Âµl cas9 mRNA . The ODNs (S, AS or ds) were added to the injection mix with a final concentration of 1.5 or 0.15?ÂµM, and the plasmid with a final concentration of 2.5 or 10?ng/Âµl (corresponding to 0.001 and 0.004?ÂµM, respectively).",Yes,No,CRISPR
